Артикул,Штрихкод,Бренд,Линейка,Название,Название (рус),Категория,Подкатегория,Тип,Объём,Состав,Активы,Тип кожи,Проблемы кожи,Возраст,Цена,Старая цена,Валюта,В наличии,Количество,Описание,Подробное описание,Применение,Веган,Без жестокости,Страна,Производитель,Срок годности,Вес,Габариты,Фото,parent_sku,Теги,additional_info
COSRX-AS96-100,8809416470016,COSRX,Advanced Snail,COSRX Advanced Snail 96 Mucin Power Essence 100ml,COSRX Эссенция с муцином улитки 96% 100 мл,Уход за лицом,Сыворотки и эссенции,Эссенция,100 мл,"Snail Secretion Filtrate (96%), Betaine, Butylene Glycol, 1,2-Hexanediol, Sodium Hyaluronate, Panthenol, Allantoin, Sodium Polyacrylate, Carbomer, Arginine, Phenoxyethanol",Snail Mucin|Sodium Hyaluronate|Panthenol,сухая|чувствительная|обезвоженная,обезвоженность|следы постакне|тусклый тон,25+,1990,2490,RUB,да,42,Эссенция с 96% муцина улитки — глубокое увлажнение и регенерация,"Концентрированная эссенция COSRX содержит 96% фильтрата секрета улитки. Помогает восстановить кожу после повреждений, разглаживает мелкие морщинки, выравнивает тон. Гипоаллергенная формула без отдушек и спирта. Лёгкая гелевая текстура быстро впитывается.","На очищенную кожу после тонера, 2-3 капли, утром и вечером",да,да,Южная Корея,"COSRX Co., Ltd.",36 мес,120 г,4×4×12 см,https://cdn.shopify.com/s/files/1/0567/2461/products/cosrx_snail_96_essence.jpg|https://cdn.shopify.com/s/files/1/0567/2461/products/cosrx_snail_96_essence_back.jpg,,хит|без отдушек,"{""ph"":6.0,""pack_type"":""Флакон с пипеткой"",""fragrance"":""Без отдушек"",""key_benefits"":[""Увлажнение"",""Заживление"",""Регенерация""],""halal"":""нет""}"
COSRX-AS96-50,8809416470023,COSRX,Advanced Snail,COSRX Advanced Snail 96 Mucin Power Essence 50ml,COSRX Эссенция с муцином улитки 96% 50 мл,Уход за лицом,Сыворотки и эссенции,Эссенция,50 ml,,Snail Mucin|Sodium Hyaluronate,сухая|чувствительная,обезвоженность,,1 190 ₽,,,да,58,Эссенция с муцином улитки — компактный объём,,,да,да,Южная Корея,,36 мес,70 г,,https://cdn.shopify.com/s/files/1/0567/2461/products/cosrx_snail_96_essence_50ml.jpg,COSRX-AS96-100,,"{""pack_type"":""Флакон с пипеткой""}"
COSRX-PHGM-150,8809416470290,COSRX,Low pH Good Morning,COSRX Low pH Good Morning Gel Cleanser 150ml,COSRX Гель для умывания с низким pH 150 мл,Уход за лицом,Очищение,Гель,150 мл,"Water, Tea-Lauryl Sulfate, Cocamidopropyl Betaine, PEG-7 Glyceryl Cocoate, Citric Acid, Salix Alba (Willow) Bark Water, Saccharomyces Ferment, Sodium Cocoyl Apple Amino Acids, Saccharomyces/Imperata Cylindrica Root Ferment Extract, Pyrus Malus Fruit Extract, Phenoxyethanol, BHT, Disodium EDTA, Fragrance",BHA|Tea Tree Oil|Willow Bark,комбинированная|жирная|проблемная,акне|расширенные поры|жирный блеск,,1390,,,да,35,Мягкий гель для ежедневного умывания с низким pH 5.5,"Деликатный гель для умывания подходит для ежедневного использования. Бережно очищает кожу не нарушая защитный барьер. Содержит BHA и масло чайного дерева для борьбы с воспалениями. pH 5.5 близок к естественному pH кожи.","Нанести на влажную кожу, вспенить, смыть тёплой водой",,да,Южная Корея,"COSRX Co., Ltd.",30 месяцев,,,https://cdn.shopify.com/s/files/1/0567/2461/products/cosrx_lowph_cleanser.jpg,,новинка,"{""ph"":5.5,""pack_type"":""Туба"",""fragrance"":""Лёгкая"",""key_benefits"":[""Очищение"",""Бережно"",""Не сушит""]}"
BOJ-GLOW-30,8809738544015,Beauty of Joseon,Glow Serum,Beauty of Joseon Glow Serum Propolis + Niacinamide 30ml,Beauty of Joseon Сыворотка с прополисом и ниацинамидом 30 мл,Уход за лицом,Сыворотки и эссенции,Сыворотка,30 ml,"Propolis Extract (60%), Niacinamide (2%), Butylene Glycol, 1,2-Hexanediol, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysorbate 60, Sorbitan Isostearate, Glyceryl Caprylate, Honey Extract, Ethylhexylglycerin","Propolis|Niacinamide|Honey Extract",все типы|чувствительная,тусклый тон|обезвоженность|мелкие морщинки,20+,1690,1990,RUB,true,71,Сыворотка с 60% прополиса и 2% ниацинамида,"Сыворотка Beauty of Joseon содержит 60% экстракта прополиса и 2% ниацинамида. Питает, успокаивает и восстанавливает кожу. Придаёт здоровое сияние. Подходит для всех типов кожи включая чувствительную.","2-3 капли на лицо и шею после тонера, утром и вечером",true,true,Южная Корея,Beauty of Joseon,24 мес,55 г,,https://www.beautyofjoseon.com/cdn/shop/products/glow_serum_propolis.jpg|https://www.beautyofjoseon.com/cdn/shop/products/glow_serum_propolis_2.jpg,,хит|сияние,"{""ph"":5.5,""pack_type"":""Флакон с пипеткой"",""fragrance"":""Прополис, легкий мёд"",""key_benefits"":[""Сияние"",""Питание"",""Успокаивает""],""halal"":""нет"",""certifications"":[""EWG Verified""]}"
BOJ-RSUN-50,8809738544152,Beauty of Joseon,Relief Sun,Beauty of Joseon Relief Sun Rice + Probiotics SPF50+ PA++++ 50ml,Beauty of Joseon Солнцезащитный крем с рисом и пробиотиками SPF50+ 50 мл,Уход за лицом,Солнцезащита,Крем,50мл,"Water, Ethylhexyl Methoxycinnamate, Propanediol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Glycerin, Niacinamide, Caprylic/Capric Triglyceride, Oryza Sativa (Rice) Extract, Lactobacillus Ferment Lysate, Saccharomyces Ferment, Cetearyl Alcohol, Phenoxyethanol",SPF50+|Niacinamide|Rice Extract|Probiotics,все типы,защита от UV|пигментация,18+,"1 590",1890,,Y,128,Лёгкий солнцезащитный крем с рисом и пробиотиками SPF50+ PA++++,"Хемический санскрин с лёгкой текстурой без белого слоя. Идеален как финиш утреннего ухода. Содержит экстракт риса для сияния и пробиотики для укрепления барьера. PA++++ — максимальная защита от UVA.","Финальный шаг утреннего ухода, обновлять каждые 2 часа на солнце",да,да,Южная Корея,Beauty of Joseon,30 мес,72 г,5×3×10 см,https://www.beautyofjoseon.com/cdn/shop/products/relief_sun_main.jpg,,хит,"{""pack_type"":""Туба"",""fragrance"":""Без отдушек"",""key_benefits"":[""Защита SPF50+"",""Сияние"",""Без белого слоя""],""halal"":""нет"",""spf"":""50+"",""pa"":""++++""}"
INF-GTSEED-80,8809843130011,Innisfree,Green Tea Seed,Innisfree Green Tea Seed Hyaluronic Serum 80ml,Innisfree Сыворотка с зелёным чаем 80 мл,Уход за лицом,Сыворотки и эссенции,Сыворотка,80 мл,"Camellia Sinensis Leaf Water (Green Tea), Glycerin, Butylene Glycol, Camellia Sinensis Seed Oil, Niacinamide, Sodium Hyaluronate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cetearyl Olivate, Sorbitan Olivate, Camellia Sinensis Leaf Extract",Green Tea|Hyaluronic Acid|Niacinamide,все типы|обезвоженная,обезвоженность|тусклый тон,,2490,2990,RUB,да,24,Сыворотка с зелёным чаем для увлажнения и сияния,"Сыворотка Innisfree с экстрактом зелёного чая с Чеджу глубоко увлажняет и придаёт сияние. 5 типов гиалуроновой кислоты обеспечивают многоуровневое увлажнение. Подходит для ежедневного использования.",Apply 3-4 drops on face after toner. Use morning and evening,,да,Южная Корея,"Innisfree Corp.",30 мес,160 г,5×5×14 см,https://cdn.shopify.com/s/files/.../innisfree_greentea_serum.png,,,"{""pack_type"":""Флакон с дозатором"",""fragrance"":""Зелёный чай"",""key_benefits"":[""Увлажнение"",""Сияние"",""Антиоксиданты""]}"
SBM-30D-150,8809647391456,Some By Mi,AHA-BHA-PHA 30 Days Miracle,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner 150ml,Some By Mi Тонер 30 дней чудо 150 мл,Уход за лицом,Тонирование,Тонер,150 мл,"Water, Niacinamide, Butylene Glycol, Glycerin, Propanediol, Centella Asiatica Extract, Melaleuca Alternifolia (Tea Tree) Leaf Water, Lactobacillus/Soybean Ferment Extract, Salicylic Acid, Lactic Acid, Gluconolactone, Allantoin, Panthenol",AHA|BHA|PHA|Tea Tree|Centella,жирная|комбинированная|проблемная,акне|постакне|расширенные поры,,1490,1790,RUB,да,67,Тонер с AHA/BHA/PHA для проблемной кожи,"Кислотный тонер для борьбы с акне и постакне за 30 дней. Содержит мягкую комбинацию кислот: AHA для отшелушивания, BHA для глубокого очищения пор, PHA для бережного действия. С экстрактом чайного дерева и центеллы.","После очищения нанести ватным диском на проблемные зоны. На ночь",нет,да,Южная Корея,"A.B.M. Korea Co., Ltd.",24 мес,180 г,,https://cdn.shopify.com/s/files/.../somebymi_aha_toner_150.jpg|https://cdn.shopify.com/s/files/.../somebymi_aha_toner_150_pack.jpg,,хит|против акне,"{""ph"":4.0,""pack_type"":""Флакон"",""fragrance"":""Чайное дерево"",""key_benefits"":[""Против акне"",""Отшелушивание"",""Сужение пор""]}"
SBM-30D-300,8809647391463,Some By Mi,AHA-BHA-PHA 30 Days Miracle,Some By Mi AHA-BHA-PHA 30 Days Miracle Toner 300ml,Some By Mi Тонер 30 дней чудо 300 мл,Уход за лицом,Тонирование,Тонер,300мл,,AHA|BHA|PHA|Tea Tree,жирная|комбинированная,акне|постакне,,2390,,RUB,да,31,,,"После очищения, ватным диском, на ночь",нет,да,Южная Корея,,24 мес,,,https://cdn.shopify.com/s/files/.../somebymi_aha_toner_300.jpg,SBM-30D-150,,
KLAIRS-RMSS-80,8809115751720,Klairs,Rich Moist Soothing,Klairs Rich Moist Soothing Serum 80ml,Klairs Питательная успокаивающая сыворотка 80 мл,Уход за лицом,Сыворотки и эссенции,Сыворотка,80 ml,"Water, Butylene Glycol, Sodium Hyaluronate, Glycerin, 1,2-Hexanediol, Centella Asiatica Extract, Beta-Glucan, Panthenol, Allantoin, Sodium Polyacrylate, Carbomer, Phenoxyethanol",Beta-Glucan|Centella|Panthenol|Hyaluronic Acid,сухая|чувствительная|обезвоженная,обезвоженность|покраснения|раздражение,,1850,,,1,18,Питательная сыворотка для чувствительной кожи,"Многофункциональная сыворотка Klairs для глубокого увлажнения и успокоения. Содержит бета-глюкан и центеллу для уменьшения покраснений. Гипоаллергенная формула без эфирных масел и спирта. Идеальна для холодного сезона.","2-3 нажатия на ладонь, распределить по лицу после тонера",1,1,Южная Корея,Wishtrend Inc.,,140 г,,https://cdn.shopify.com/s/files/.../klairs_rich_moist_serum.jpg,,,"{""ph"":6.5,""pack_type"":""Флакон с дозатором"",""key_benefits"":[""Увлажнение"",""Успокаивает"",""Питает""],""certifications"":[""EWG Verified""]}"
PKY-ESST-200,8809612861023,Pyunkang Yul,Essence Toner,Pyunkang Yul Essence Toner 200ml,Pyunkang Yul Эссенция-тонер 200 мл,Уход за лицом,Тонирование,Эссенция-тонер,200 мл,"Coptis Japonica Root Extract (91.3%), Methylpropanediol, 1,2-Hexanediol, Hydroxyethylcellulose, Glyceryl Caprylate",Coptis Root|Hyaluronic Acid,все типы|чувствительная,обезвоженность,,1890,,RUB,да,89,Минималистичный эссенция-тонер с экстрактом коптиса 91.3%,"Эссенция-тонер с минималистичным составом — всего 6 компонентов. Основа — экстракт корня коптиса японского 91.3%. Глубоко увлажняет и подготавливает кожу к следующим этапам ухода. Подходит для самой чувствительной кожи.","Похлопывающими движениями на лицо после очищения",да,да,Южная Корея,"Pyunkang Hospital Co., Ltd.",36 мес,250 г,,https://cdn.shopify.com/s/files/.../pyunkangyul_essence_toner.jpg,,новинка,"{""pack_type"":""Флакон"",""fragrance"":""Без отдушек"",""key_benefits"":[""Минимализм"",""Глубокое увлажнение"",""Для чувствительной""]}"
